step,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,0.2214404195547104,0.003114752471446991,0.0823589563369751,-0.014305023476481438,0.01045988779515028,-0.0014472909970209002,-0.00014765968080610037
1,0.2214404195547104,0.003114752471446991,0.0823589563369751,-0.014305023476481438,0.01045988779515028,-0.0014472909970209002,-0.00014765968080610037
2,0.5531817674636841,0.1663731187582016,0.14695009589195251,-0.28704333305358887,0.006756847724318504,-0.07954335957765579,-0.015978241339325905
3,0.6511534452438354,-0.08468052744865417,0.17656061053276062,-0.056704822927713394,0.0342366099357605,-0.0024084914475679398,-0.005006038583815098
4,0.7040071487426758,-0.15892374515533447,0.2058146744966507,0.0013681775890290737,0.04982110857963562,-0.03246040269732475,0.0045515187084674835
5,0.5844371914863586,-0.28665798902511597,0.15292991697788239,0.17456577718257904,0.05928395688533783,0.04262435808777809,0.02820701338350773
6,0.5645387768745422,-0.18217279016971588,0.16489829123020172,0.08743450790643692,0.0285676047205925,-0.04317203536629677,-0.019983801990747452
7,0.3502725660800934,-0.25053977966308594,0.07474702596664429,0.2528998553752899,0.03418901935219765,0.05660586059093475,0.009256944991648197
8,0.1774008721113205,-0.16074134409427643,-0.019955843687057495,0.17385438084602356,0.03917548805475235,0.03213966637849808,0.023139851167798042
9,0.06821048259735107,-0.17317593097686768,-0.027550362050533295,0.2711028456687927,0.04077203571796417,0.08777499198913574,0.03982410579919815
10,0.12214765697717667,0.08890722692012787,0.022440141066908836,0.06075887382030487,0.006094302050769329,0.024877777323126793,-0.013088789768517017
11,0.230195552110672,0.0695781409740448,0.17980830371379852,0.021217364817857742,0.010650736279785633,0.017665496096014977,0.01731579564511776
12,0.3177163302898407,0.2295687347650528,0.24433210492134094,-0.17341090738773346,-0.0036322325468063354,-0.0008285363437607884,0.027973392978310585
13,0.292395681142807,0.33075234293937683,0.21404409408569336,-0.28670185804367065,-0.01935151405632496,-0.013511531054973602,0.008030721917748451
14,0.32652196288108826,0.2593159079551697,0.2615761458873749,-0.2307589054107666,-0.03588436543941498,-0.04010098800063133,-0.012536383233964443
15,0.22360941767692566,0.2878856658935547,0.15553975105285645,-0.2714741826057434,-0.008876408450305462,-0.02711506187915802,0.03503941372036934
16,0.15641367435455322,0.2844303250312805,0.09398236125707626,-0.2895534634590149,-0.03762897104024887,-0.0052404641173779964,-0.017964549362659454
17,-0.10910756140947342,0.1912052482366562,-0.12904219329357147,-0.2172185480594635,-0.0048024714924395084,-0.007818277925252914,0.014945208095014095
18,-0.25798383355140686,0.2127053290605545,-0.2761358916759491,-0.28501567244529724,-0.008599054999649525,-0.07474854588508606,-0.016717761754989624
19,0.04147697985172272,1.1310369968414307,0.17475202679634094,-0.8403131365776062,0.4473220109939575,-0.02498423494398594,-0.001341339317150414
20,0.18246164917945862,0.7864943742752075,-0.0442943274974823,-0.6693564653396606,0.02770489826798439,-0.10352826863527298,0.010253303684294224
21,0.4288635551929474,0.810123085975647,0.20697544515132904,-0.6046994924545288,0.060431163758039474,-0.013090739957988262,-0.002241127658635378
22,0.5492688417434692,0.6769275665283203,0.3153468668460846,-0.460085391998291,0.051248699426651,-0.036652229726314545,0.007791621144860983
23,0.6253337860107422,0.5459299683570862,0.405871719121933,-0.42701247334480286,0.03397062420845032,-0.011100320145487785,0.008981998078525066
24,0.7120141983032227,0.6810082793235779,0.5231789350509644,-0.5053369402885437,0.09933239221572876,0.015665151178836823,-0.010160517878830433
25,0.5216019153594971,0.5878679156303406,0.30840015411376953,-0.48909589648246765,0.04450548067688942,-0.05308130010962486,-0.008553887717425823
26,0.3968815505504608,0.6511417627334595,0.21054275333881378,-0.44709619879722595,0.08574962615966797,-0.045810408890247345,0.002453689929097891
27,0.28582102060317993,0.7456363439559937,0.09766022861003876,-0.49260130524635315,0.08659962564706802,-0.047329068183898926,-0.004837572108954191
28,0.45942914485931396,0.6705228090286255,0.29204118251800537,-0.3780437707901001,0.07127760350704193,0.025807740166783333,-0.007291397079825401
29,0.13490355014801025,0.48133447766304016,0.004755198955535889,-0.17436450719833374,0.015337634831666946,0.0639415755867958,-0.0008888703887350857
30,-0.1259896457195282,0.5699291825294495,-0.31933948397636414,-0.24899032711982727,-0.028361275792121887,-0.08190745115280151,-0.015565002337098122
31,-0.20813210308551788,0.6336270570755005,-0.4009673297405243,-0.31564274430274963,-0.027870897203683853,-0.07354141771793365,-0.016656968742609024
32,-0.18811838328838348,0.43964698910713196,-0.3157227039337158,-0.10921556502580643,-0.025738023221492767,-0.013981963507831097,-0.009538650512695312
33,-0.16044345498085022,0.26232457160949707,-0.21945366263389587,-0.05900324136018753,0.003465750254690647,-0.04221346229314804,0.0025116840843111277
34,0.06913476437330246,0.06454233825206757,0.053334638476371765,-0.03683807700872421,0.014086928218603134,-0.03771043196320534,0.023620741441845894
35,-0.0043533798307180405,0.004005612805485725,0.00962565466761589,0.0270976684987545,0.006476865150034428,-0.004117750097066164,0.006607795599848032
36,0.028380028903484344,-0.15876053273677826,0.0876343697309494,0.06071891635656357,-0.01036822609603405,0.017970042303204536,-0.015166421420872211
37,0.16559791564941406,0.025392424315214157,0.14899644255638123,-0.08904195576906204,0.0031332364305853844,0.04780476167798042,0.03540205582976341
38,0.1964084804058075,0.26031529903411865,0.08857341855764389,-0.34702426195144653,-0.013493916019797325,-0.06042568013072014,0.00189483305439353
39,0.18578532338142395,0.9503300786018372,-0.008292526006698608,-0.9602176547050476,0.17996713519096375,-0.4030977785587311,-0.005733775906264782
40,-0.06250252574682236,0.6068031787872314,-0.22797900438308716,-0.5591257214546204,0.0472777783870697,-0.12464547902345657,0.016569605097174644
